#Time [ms]	Frametype	Length [byte]
#_____________________________________________________________
0		I		   1432
40		P		    424
80		P		    352
120		P		    573
160		P		    405
200		P		    383
240		P		    424
280		P		    341
320		P		    454
360		P		    400
400		P		    433
440		P		    316
480		P		    320
520		P		    321
560		P		    319
600		P		    322
640		P		    320
680		P		    319
720		P		    321
760		P		    315
800		P		    303
840		P		    330
880		P		    337
920		P		    324
960		P		    309
1000		P		    312
1040		P		    320
1080		P		    323
1120		P		    324
1160		P		    329
1200		P		    320        
1240		P		    308
1280		P		    309
1320		P		    320
1360		P		    326
1400		P		    318
1440		P		    325
1480		P		    321
1520		P		    314
1560		P		    321
1600		P		    318
1640		P		    322
1680		P		    318
1720		P		    335
1760		P		    305
1800		P		    321
1840		P		    318
1880		P		    318
1920		P		    321
1960		P		    321
2000		P		    319
2040		P		    325
2080		P		    312
2120		P		    329
2160		P		    301
2200		P		    288
2240		P		    324
2280		P		    297
2320		P		    318
2360		P		    300
2400		P		    288
2440		P		    276
2480		P		    289
2520		P		    283
2560		P		    273
2600		P		    285
2640		P		    283
2680		P		    342
2720		P		    299
2760		P		    302
2800		P		    291
2840		P		    339
2880		P		    308
2920		P		    308
2960		P		    333
3000		P		    302
3040		P		    309
3080		P		    290
3120		P		    350
3160		P		    308
3200		P		    301
3240		P		    303
3280		P		    294
3320		P		    308
3360		P		    282
3400		P		    323
3440		P		    275
3480		P		    284
3520		P		    304
3560		P		    261
3600		P		    276
3640		P		    295
3680		P		    295
3720		P		    314
3760		P		   1107
3800		P		    314
3840		P		    323
3880		P		    318
3920		P		    316
3960		P		    311
4000		P		    320
4040		P		    321
4080		P		    322
4120		P		    317
4160		P		    311
4200		P		    321
4240		P		    333
4280		P		    316
4320		P		    322
4360		P		    313
4400		P		    315
4440		P		    324
4480		P		    330
4520		P		    315
4560		P		    307
4600		P		    324
4640		P		    300
4680		P		    281
4720		P		    309
4760		P		    285
4800		P		    273
4840		P		    277
4880		P		    325
4920		P		    285
4960		P		    284
5000		P		    264
5040		P		    253
5080		P		    269
5120		P		    258
5160		P		    295
5200		P		    311
5240		P		    290
5280		P		    284
5320		P		    320
5360		P		    272
5400		P		    308
5440		P		    376
5480		P		    248
5520		P		    269
5560		P		    336
5600		P		    245
5640		P		    281
5680		P		    308
5720		P		    296
5760		P		    252
5800		P		    277
5840		P		    311
5880		P		    310
5920		P		    256
5960		P		    246
6000		P		   1408
6040		P		    343
6080		P		    325
6120		P		    328
6160		P		    337
6200		P		    301
6240		P		    317
6280		P		    324
6320		P		    310
6360		P		    321
6400		P		    296
6440		P		    346
6480		P		    319
6520		P		    322
6560		P		    319
6600		P		    323
6640		P		    311
6680		P		    322
6720		P		    310
6760		P		    288
6800		P		    263
6840		P		    249
6880		P		    261
6920		P		    276
6960		P		    256
7000		P		    270
7040		P		    264
7080		P		    252
7120		P		    256
7160		P		    255
7200		P		    266
7240		P		    248
7280		P		    251
7320		P		    242
7360		P		    258
7400		P		    248
7440		P		    249
7480		P		    256
7520		P		    263
7560		P		    271
7600		P		    259
7640		P		    277
7680		P		    283
7720		P		    298
7760		P		    300
7800		P		    294
7840		P		    324
7880		P		    264
7920		P		    305
7960		P		    299
8000		P		    294
8040		P		    314
8080		P		    324
8120		P		    291
8160		P		    320
8200		P		    289
8240		P		    348
8280		P		    337
8320		P		    291
8360		P		    317
8400		P		    316
8440		P		    309
8480		P		    278
8520		P		    343
8560		P		    328
8600		P		    315
8640		P		    311
8680		P		    335
8720		P		    279
8760		P		    312
8800		P		    341
8840		P		    354
8880		P		    301
8920		P		    328
8960		P		    340
9000		P		    289
9040		P		   1331
9080		P		    253
9120		P		    223
9160		P		    248
9200		P		    221
9240		P		    207
9280		P		    221
9320		P		    262
9360		P		    226
9400		P		    241
9440		P		    288
9480		P		    283
9520		P		    259
9560		P		    313
9600		P		    283
9640		P		    316
9680		P		    314
9720		P		    303
9760		P		    269
9800		P		    414
9840		P		    258
9880		P		    306
9920		P		    314
9960		P		    379
10000		P		    263
10040		P		    359
10080		P		    260
10120		P		    318
10160		P		    316
10200		P		    346
10240		P		    301
10280		P		    381
10320		P		    246
10360		P		    395
10400		P		    269
10440		P		    309
10480		P		    308
10520		P		    382
10560		P		    279
10600		P		    338
10640		P		    280
10680		P		    292
10720		P		    302
10760		P		    425
10800		P		    258
10840		P		    378
10880		P		    238
10920		P		    326
10960		P		    354
11000		P		    297
11040		P		    352
11080		P		    351
11120		P		    248
11160		P		    334
11200		P		    364
11240		P		    299
11280		P		    265
11320		P		    457
11360		P		    248
11400		P		    346
11440		P		    279
11480		P		    342
11520		P		    274
11560		P		    322
11600		P		    358
11640		P		    262
11680		P		    345
11720		P		    387
11760		P		    268
11800		P		    320
11840		P		    281
11880		P		    369
11920		P		    293
11960		P		    311
12000		P		    337
12040		P		    328
12080		P		    303
12120		P		    351
12160		P		    274
12200		P		    306
12240		P		    323
12280		P		    300
12320		P		    362
12360		P		    279
12400		P		    354
12440		P		    305
12480		P		    303
12520		P		    342
12560		P		    285
12600		P		    346
12640		P		    349
12680		P		    270
12720		P		    343
12760		P		    325
12800		P		    293
12840		P		    347
12880		P		    298
12920		P		    304
12960		P		    327
13000		P		    388
13040		P		    283
13080		P		    343
13120		P		    273
13160		P		    351
13200		P		    311
13240		P		   1242
13280		P		    214
13320		P		    193
13360		P		    183
13400		P		    184
13440		P		    200
13480		P		    237
13520		P		    285
13560		P		    251
13600		P		    348
13640		P		    279
13680		P		    238
13720		P		    381
13760		P		    320
13800		P		    271
13840		P		    308
13880		P		    353
13920		P		    293
13960		P		    333
14000		P		    282
14040		P		    393
14080		P		    234
14120		P		    322
14160		P		    317
14200		P		    308
14240		P		    325
14280		P		    307
14320		P		    390
14360		P		    334
14400		P		    277
14440		P		    373
14480		P		    246
14520		P		    313
14560		P		    373
14600		P		    242
14640		P		    422
14680		P		    249
14720		P		    318
14760		P		    351
14800		P		    266
14840		P		    434
14880		P		    211
14920		P		    405
14960		P		    286
15000		P		    262
15040		P		    381
15080		P		    242
15120		P		    337
15160		P		    318
15200		P		    383
15240		P		    319
15280		P		    267
15320		P		    294
