#Time [ms]	Frametype	Length [byte]
#_____________________________________________________________
      0		 I			   687
     40		 P			   345
    120		PB			  7584
    360		PB			  4513
    440		PB			  6117
    760		PB			  5756
    840		PB			  6036
   1080		PB			  6470
   1240		PB			  6258
   1480		PB			  5731
   1560		PB			  6548
   1720		 P			  1943
   1800		 P			  3778
   2040		PB			  5884
   2120		PB			  6250
   2440		PB			  6456
   2520		PB			  6609
   2840		PB			  5592
   2880		 P			  1626
   2920		 P			  3440
   3160		PB			  6488
   3320		PB			  5707
   3480		PB			  6643
   3720		PB			  6717
   3960		PB			  5851
   4040		PB			  5563
   4200		 P			  1681
   4240		 P			  3263
   4360		 P			  2949
   4440		 P			  2859
   4600		PB			  7450
   4920		PB			  6001
   5000		PB			  6065
   5240		PB			  6993
   5480		PB			  5931
   5560		PB			  7063
   5960		PB			  5774
   6040		PB			  6930
   6280		PB			  7113
   6440		PB			  5939
   6680		PB			  6880
   6840		PB			  7055
   7160		PB			  7008
   7240		PB			  7159
   7640		PB			  7018
   7720		PB			  6390
   7960		PB			  5967
   8120		PB			  5792
   8360		PB			  6958
   8520		PB			  5736
   8760		PB			  5931
   8840		PB			  6017
   9160		PB			  6130
   9240		PB			  6402
   9560		PB			  6955
   9640		PB			  6381
   9960		PB			  7787
  10120		PB			  6547
  10360		PB			  7803
  10600		PB			  7110
  10840		PB			  6717
  11000		PB			  6071
  11240		PB			  6485
  11400		PB			  6019
  11640		PB			  6477
  11800		PB			  6190
  12040		PB			  6667
  12200		PB			  6013
  12440		PB			  6445
  12600		PB			  6278
  12760		PB			  6619
  12920		 P			  2844
  13000		 P			  2885
  13160		PB			  6214
  13280		 P			  3010
  13360		 P			  3325
  13600		PB			  6377
  13760		PB			  6346
  13880		 P			  2446
  13960		 P			  3172
  14040		 P			  3352
  14160		 P			  3357
  14400		PB			  6674
  14560		PB			  6228
  14680		 P			  2506
  14760		 P			  2979
  14920		PB			  6101
  15160		PB			  7096
  15240		 P			  2382
  15320		 P			  3475
  15440		 P			  3599
  15560		 P			  3410
  15640		 P			  3135
  15760		 P			  3200
  15840		 P			  3261
  15960		 P			  3123
  16040		 P			  3110
  16160		 P			  3111
  16240		 P			  3096
  16320		 P			  3229
  16440		 P			  3253
  16560		 P			  3056
  16640		 P			  3078
  16720		 P			  3256
  16840		 P			  3319
  16920		 P			  3206
  17040		 P			  3475
  17160		 P			  3212
  17240		 P			  3144
  17360		 P			  3210
  17440		 P			  3314
  17560		 P			  3250
  17640		 P			  3167
  17760		 P			  3280
  17840		 P			  3036
  17960		 P			  3219
  18040		 P			  2968
  18160		 P			  3309
  18240		 P			  3025
  18320		 P			  3218
  18440		 P			  3261
  18560		 P			  2344
