Time, StartPointBuffer, EndPointBuffer
5.880000, 4822.698242, 4754.302246
5.920000, 4837.498047, 4735.502441
5.960000, 4851.297852, 4724.702637
6.000000, 4818.797852, 4689.202637
6.040000, 4776.297852, 4977.702637
6.080000, 5895.797852, 4966.202637
6.120000, 5950.297852, 4973.702637
6.160000, 5986.797852, 4953.202637
6.200000, 6026.297852, 4956.702637
6.240000, 6074.797852, 4972.202637
6.280000, 6087.297852, 4983.702637
6.320000, 6115.797852, 4947.202637
6.360000, 6151.297852, 4950.702637
6.400000, 6042.797852, 5085.202637
6.440000, 5945.297852, 5239.702637
6.480000, 5822.797852, 5405.202637
6.520000, 5750.297852, 5554.702637
6.560000, 5650.797852, 5715.202637
6.600000, 5554.297852, 5838.702637
6.640000, 5454.797852, 5946.202637
6.680000, 5359.297852, 6074.702637
6.720000, 5251.797852, 6209.202637
6.760000, 5155.297852, 6307.702637
6.800000, 5146.397949, 6354.602539
6.840000, 5115.498047, 6365.502441
6.880000, 5059.598145, 6308.402344
6.920000, 4989.698242, 6379.302246
6.960000, 4931.798340, 6429.202148
7.000000, 4888.898438, 6412.102051
7.040000, 4825.998535, 6486.001953
7.080000, 4777.098633, 6523.901855
7.120000, 4722.198730, 6534.801758
7.160000, 4974.198730, 6238.801758
7.200000, 4961.298828, 6255.701660
7.240000, 4947.398926, 6247.601563
7.280000, 4944.499023, 6205.501465
7.320000, 4923.599121, 6164.401367
7.360000, 4905.699219, 6177.301270
7.400000, 4878.799316, 6200.201172
7.440000, 4867.899414, 5061.101074
7.480000, 4846.999512, 4987.000977
7.520000, 4827.099609, 4930.900879
7.560000, 4814.199707, 4871.800781
7.600000, 4824.299805, 4787.700684
7.640000, 4842.399902, 4739.600586
7.680000, 4848.500000, 4992.500488
7.720000, 4872.600098, 4928.400391
7.760000, 4902.700195, 4857.300293
7.800000, 4947.800293, 4800.200195
7.840000, 4994.900391, 4732.100098
7.880000, 5036.000488, 4985.000000
7.920000, 5107.100586, 4941.899902
7.960000, 5118.200684, 4848.799805
8.000000, 5139.900879, 4813.099609
8.040000, 5155.601074, 4774.399414
8.080000, 5166.301270, 4738.699219
8.120000, 5197.001465, 4698.999023
8.160000, 5237.701660, 4982.298828
8.200000, 5245.401855, 4954.598633
8.240000, 5282.102051, 4915.898438
8.280000, 5287.802246, 4889.198242
8.320000, 5352.502441, 4884.498047
8.360000, 5406.202637, 4904.797852
8.400000, 5385.102539, 4967.897949
8.440000, 5390.002441, 5018.998047
8.480000, 5393.902344, 5055.098145
8.520000, 5390.802246, 5111.198242
8.560000, 5356.702148, 5153.298340
8.600000, 5387.602051, 5201.398438
8.640000, 5403.501953, 5261.498535
8.680000, 5406.401855, 5317.598633
8.720000, 5405.301758, 5374.698730
8.760000, 5428.201660, 5420.798828
8.800000, 5392.901855, 5487.098633
8.840000, 5390.602051, 5550.398438
8.880000, 5417.302246, 5622.698242
8.920000, 5457.002441, 5678.998047
8.960000, 5443.702637, 5745.297852
9.000000, 5457.402832, 5810.597656
9.040000, 5483.103027, 5868.897461
9.080000, 5457.803223, 5920.197266
9.120000, 6474.503418, 5963.497070
9.160000, 6413.203613, 6018.796875
9.200000, 6223.403809, 6154.596680
9.240000, 6058.604004, 6284.396484
9.280000, 5866.804199, 6399.196289
9.320000, 5661.004395, 6511.996094
9.360000, 5469.204590, 6630.795898
9.400000, 5318.404785, 6719.595703
9.440000, 5131.604980, 6868.395508
9.480000, 4959.805176, 6976.195313
9.520000, 4835.005371, 7089.995117
9.560000, 4705.205566, 7208.794922
9.600000, 4964.205566, 6894.794922
9.640000, 5035.205566, 6812.794922
9.680000, 5076.205566, 6763.794922
9.720000, 5150.205566, 6685.794922
9.760000, 5222.205566, 6638.794922
9.800000, 5283.205566, 6532.794922
9.840000, 5310.205566, 6437.794922
9.880000, 5482.205566, 6388.794922
9.920000, 5498.205566, 6313.794922
9.960000, 5562.205566, 6239.794922
10.000000, 5572.705566, 6234.294922
10.040000, 5648.205566, 6259.794922
10.080000, 5607.705566, 6220.294922
10.120000, 5663.205566, 6195.794922
10.160000, 5619.705566, 6184.294922
10.200000, 5634.205566, 6176.794922
10.240000, 5646.705566, 6145.294922
10.280000, 5689.205566, 6169.794922
10.320000, 5686.705566, 6161.294922
10.360000, 5764.205566, 6123.794922
10.400000, 5686.505371, 6093.495117
10.440000, 5757.805176, 6116.195313
10.480000, 5703.104980, 6111.895508
10.520000, 5688.404785, 6095.595703
10.560000, 5672.704590, 6130.295898
10.600000, 5731.004395, 5122.996094
10.640000, 5686.304199, 5193.696289
10.680000, 5700.604004, 5294.396484
10.720000, 5656.903809, 5370.096680
10.760000, 5625.203613, 5472.796875
10.800000, 5617.403809, 5575.596680
10.840000, 5732.604004, 5664.396484
10.880000, 5680.804199, 5712.196289
10.920000, 5749.004395, 5795.996094
10.960000, 5677.204590, 5864.795898
11.000000, 5693.404785, 5886.595703
11.040000, 5737.604980, 5913.395508
11.080000, 5724.805176, 5964.195313
11.120000, 5767.005371, 5960.995117
11.160000, 5808.205566, 5987.794922
11.200000, 5728.105469, 5999.895020
11.240000, 5734.005371, 6013.995117
11.280000, 5769.905273, 6039.095215
11.320000, 5740.805176, 6098.195313
11.360000, 5677.705078, 6012.295410
11.400000, 5806.604980, 6082.395508
11.440000, 5726.504883, 6104.495605
11.480000, 5744.404785, 6118.595703
11.520000, 5695.304688, 6067.695801
11.560000, 5709.204590, 6132.795898
