Time, StartPointBuffer, EndPointBuffer
5.880000, 10019.250000, 10054.750000
5.920000, 9997.625000, 10142.375000
5.960000, 10040.000000, 10241.000000
6.000000, 10030.375000, 10334.625000
6.040000, 10060.750000, 10438.250000
6.080000, 10064.125000, 10539.875000
6.120000, 10036.500000, 10640.500000
6.160000, 10063.875000, 10738.125000
6.200000, 10065.250000, 10843.750000
6.240000, 10073.625000, 10942.375000
6.280000, 10043.000000, 11048.000000
6.320000, 10032.375000, 11147.625000
6.360000, 10025.750000, 11239.250000
6.400000, 10026.125000, 11297.875000
6.440000, 10019.500000, 11314.500000
6.480000, 10062.875000, 11378.125000
6.520000, 10067.250000, 11401.750000
6.560000, 10070.625000, 11416.375000
6.600000, 10108.000000, 11438.000000
6.640000, 10069.375000, 11422.625000
6.680000, 10050.750000, 11438.250000
6.720000, 10044.125000, 11485.875000
6.760000, 10062.500000, 11457.500000
6.800000, 10058.875000, 11475.125000
6.840000, 10049.250000, 11478.750000
6.880000, 10091.625000, 11481.375000
6.920000, 10086.000000, 11497.000000
6.960000, 10102.375000, 11458.625000
7.000000, 10123.750000, 11483.250000
7.040000, 10099.125000, 11500.875000
7.080000, 10134.500000, 11502.500000
7.120000, 10132.875000, 11465.125000
7.160000, 10133.250000, 11511.750000
7.200000, 10114.625000, 11464.375000
7.240000, 10118.000000, 11489.000000
7.280000, 10083.375000, 11494.625000
7.320000, 10092.750000, 11498.250000
7.360000, 10113.125000, 11502.875000
7.400000, 10086.500000, 11483.500000
7.440000, 10077.875000, 11502.125000
7.480000, 10108.250000, 11467.750000
7.520000, 10081.625000, 11491.375000
7.560000, 10059.000000, 11504.000000
7.600000, 10066.375000, 11481.625000
7.640000, 10078.750000, 11506.250000
7.680000, 10073.125000, 11505.875000
7.720000, 10094.500000, 11517.500000
7.760000, 10111.875000, 11514.125000
7.800000, 10150.250000, 11482.750000
7.840000, 10165.625000, 11209.375000
7.880000, 10169.000000, 11333.000000
7.920000, 10149.375000, 11434.625000
7.960000, 10154.750000, 11451.250000
8.000000, 10160.125000, 11467.875000
8.040000, 10141.500000, 11471.500000
8.080000, 10129.875000, 11473.125000
8.120000, 10134.250000, 11493.750000
8.160000, 10113.625000, 11483.375000
8.200000, 10106.000000, 11464.000000
8.240000, 10078.375000, 11479.625000
8.280000, 10069.750000, 11486.250000
8.320000, 10105.125000, 11486.875000
8.360000, 10112.500000, 11478.500000
8.400000, 10123.875000, 11489.125000
8.440000, 10133.250000, 11510.750000
8.480000, 10377.625000, 11468.375000
8.520000, 10343.000000, 11478.000000
8.560000, 10306.375000, 11447.625000
8.600000, 10263.750000, 11444.250000
8.640000, 10205.125000, 11471.875000
8.680000, 10154.500000, 11444.500000
8.720000, 10110.875000, 11443.125000
8.760000, 10091.250000, 11434.750000
8.800000, 10053.625000, 11465.375000
8.840000, 10044.000000, 11476.000000
8.880000, 10031.375000, 11482.625000
8.920000, 10014.750000, 11482.250000
8.960000, 10027.125000, 11488.875000
9.000000, 10006.500000, 11445.500000
9.040000, 10005.875000, 11441.125000
9.080000, 9990.250000, 11437.750000
9.120000, 9980.625000, 11400.375000
9.160000, 10013.000000, 11439.000000
9.200000, 10005.375000, 11457.625000
9.240000, 10018.750000, 11464.250000
9.280000, 10768.125000, 11445.875000
9.320000, 10672.500000, 11449.500000
9.360000, 10573.875000, 11459.125000
9.400000, 10479.250000, 11416.750000
9.440000, 10380.625000, 11422.375000
9.480000, 10298.000000, 11406.000000
9.520000, 10223.375000, 11384.625000
9.560000, 10156.750000, 11409.250000
9.600000, 10116.125000, 11373.875000
9.640000, 10074.500000, 11375.500000
9.680000, 10052.875000, 11375.125000
9.720000, 10041.250000, 11393.750000
9.760000, 10022.625000, 11390.375000
9.800000, 10035.000000, 11425.000000
9.840000, 10015.375000, 11415.625000
9.880000, 10022.750000, 11395.250000
9.920000, 10025.125000, 11421.875000
9.960000, 10019.500000, 11430.500000
10.000000, 9969.875000, 11400.125000
10.040000, 9980.250000, 11426.750000
10.080000, 9994.625000, 11449.375000
10.120000, 10008.000000, 11442.000000
10.160000, 9981.375000, 11429.625000
10.200000, 9992.750000, 11435.250000
10.240000, 9979.125000, 11413.875000
10.280000, 9973.500000, 11396.500000
10.320000, 9969.875000, 11358.125000
10.360000, 9971.250000, 11342.750000
10.400000, 9989.625000, 11339.375000
10.440000, 10008.000000, 11359.000000
10.480000, 9997.375000, 11353.625000
10.520000, 9986.750000, 11348.250000
10.560000, 9981.125000, 11366.875000
10.600000, 10025.500000, 11378.500000
10.640000, 10155.875000, 11374.125000
10.680000, 10078.250000, 11394.750000
10.720000, 10056.625000, 11402.375000
10.760000, 10015.000000, 11430.000000
10.800000, 10003.375000, 11438.625000
10.840000, 10004.750000, 11403.250000
10.880000, 9985.125000, 11395.875000
10.920000, 9961.500000, 11384.500000
10.960000, 10002.875000, 11375.125000
11.000000, 9973.250000, 11130.750000
11.040000, 9979.625000, 11165.375000
11.080000, 9976.000000, 11202.000000
11.120000, 9947.375000, 11244.625000
11.160000, 9964.750000, 11303.250000
11.200000, 9944.125000, 11353.875000
11.240000, 9935.500000, 11397.500000
11.280000, 11524.875000, 11417.125000
11.320000, 11610.250000, 11454.750000
11.360000, 11617.625000, 11464.375000
11.400000, 11612.000000, 11477.000000
11.440000, 11614.375000, 11493.625000
11.480000, 11609.750000, 11481.250000
11.520000, 11605.125000, 11501.875000
11.560000, 11598.500000, 11502.500000
11.600000, 11602.875000, 11518.125000
11.640000, 11608.250000, 11527.750000
11.680000, 11599.625000, 11495.375000
11.720000, 11604.000000, 11503.000000
11.760000, 11609.375000, 11489.625000
11.800000, 11611.750000, 10740.250000
11.840000, 11608.125000, 10835.875000
11.880000, 11606.500000, 10934.500000
11.920000, 11604.875000, 11029.125000
11.960000, 11610.250000, 11127.750000
12.000000, 11606.625000, 11210.375000
12.040000, 11609.000000, 11285.000000
12.080000, 11603.375000, 11351.625000
12.120000, 11612.750000, 11392.250000
12.160000, 11612.125000, 11433.875000
12.200000, 11608.500000, 11455.500000
12.240000, 11605.875000, 11467.125000
12.280000, 11601.250000, 11485.750000
12.320000, 11606.625000, 11473.375000
12.360000, 11609.000000, 11493.000000
12.400000, 11609.375000, 11485.625000
12.440000, 11608.750000, 11483.250000
12.480000, 11603.125000, 11488.875000
12.520000, 11604.500000, 11538.500000
12.560000, 11611.875000, 11528.125000
12.600000, 11609.250000, 11513.750000
12.640000, 11614.625000, 11500.375000
12.680000, 11603.000000, 11527.000000
12.720000, 11612.375000, 11515.625000
12.760000, 11608.750000, 11529.250000
12.800000, 11606.125000, 11534.875000
12.840000, 11609.500000, 11538.500000
12.880000, 11606.875000, 11537.125000
12.920000, 11605.250000, 11518.750000
12.960000, 11606.625000, 11500.375000
13.000000, 11605.000000, 11511.000000
13.040000, 11605.375000, 11521.625000
13.080000, 11607.750000, 11527.250000
